"시도","시군구","성별","0~4세","5~9세","10~14세","15~19세","20~24세","25~29세","30~34세","35~39세","40~44세","45~49세","50~54세","55~59세","60~64세","65~69세","70~74세","75~79세","80세이상"
"경상남도","합천군","남","0","0","1","0","36","69","64","26","17","7","7","18","11","4","0","0","1"
"경상남도","합천군","여","1","2","0","2","27","64","47","22","26","28","21","23","10","6","1","1","0"
"경상북도","경산시","남","76","32","17","339","1429","1315","967","582","257","137","116","72","36","10","4","1","0"
"경상북도","경산시","여","77","43","12","471","1221","795","442","213","113","139","120","98","36","14","7","2","1"
"경상북도","경주시","남","125","88","56","196","928","1448","1419","979","557","337","246","157","50","20","8","3","1"
"경상북도","경주시","여","110","82","49","226","742","541","510","344","257","264","220","165","42","9","2","0","7"
"경상북도","고령군","남","5","0","1","5","166","402","395","263","113","42","21","15","10","1","0","0","0"
"경상북도","고령군","여","1","4","3","2","29","60","65","36","24","23","27","27","11","4","2","0","0"
"경상북도","구미시","남","60","28","7","32","393","815","720","433","253","178","127","92","49","11","4","1","0"
"경상북도","구미시","여","61","29","11","40","193","471","422","308","199","164","159","122","49","10","4","2","2"
"경상북도","군위군","남","2","0","1","0","59","137","120","60","27","12","8","6","3","1","0","0","1"
"경상북도","군위군","여","2","0","0","1","17","31","23","12","9","9","10","9","2","3","0","0","0"
"경상북도","김천시","남","12","2","1","58","263","358","234","123","70","40","37","38","18","2","4","0","3"
"경상북도","김천시","여","8","7","3","70","242","174","116","68","30","51","62","41","13","6","3","1","2"
"경상북도","문경시","남","2","3","1","2","47","62","68","19","24","17","21","14","8","5","1","0","0"
"경상북도","문경시","여","3","3","2","2","44","65","50","43","25","31","27","31","11","1","0","0","0"
"경상북도","봉화군","남","0","0","0","1","14","22","18","10","14","13","7","6","3","2","0","0","1"
"경상북도","봉화군","여","1","0","0","0","30","36","37","19","11","18","23","8","8","0","0","0","0"
"경상북도","상주시","남","6","2","2","1","92","74","60","30","18","28","34","28","14","7","2","0","1"
"경상북도","상주시","여","2","0","3","0","64","99","94","57","30","47","57","32","19","8","0","0","2"
"경상북도","성주군","남","1","0","1","1","160","423","335","186","96","42","26","14","9","1","0","0","0"
