"시도","시군구","성별","문화예술(D-1)","구직(D-10)","유학(D-2)","기술연수(D-3)","일반연수(D-4)","취재(D-5)","종교(D-6)","주재(D-7)","기업투자(D-8)","무역경영(D-9)","교수(E-1)","선원취업(E-10)","회화(E-2)","연구(E-3)","기술지도(E-4)","전문직업(E-5)","예술흥행(E-6)","특정활동(E-7)","비전문취업(E-9)","방문동거(F-1)","거주(F-2)","동반(F-3)","영주(F-5)","결혼이민(F-6)","기타(G-1)","관광취업(H-1)","방문취업(H-2)","기타"
"대구광역시","달서구","남","0","56","611","21","189","0","2","0","36","12","42","0","72","2","0","0","8","80","2856","273","50","89","149","180","333","1","212","16"
"대구광역시","달서구","여","0","28","495","9","153","0","1","0","2","0","13","0","107","1","0","0","70","16","206","416","134","125","244","948","79","4","116","7"
"대구광역시","달성군","남","0","11","32","7","6","0","3","0","22","2","5","0","17","18","1","0","0","40","2518","268","24","6","78","96","202","1","385","3"
"대구광역시","달성군","여","0","2","22","21","17","0","0","0","2","0","2","0","19","3","0","0","9","2","178","406","49","35","133","549","35","2","283","1"
"대구광역시","동구","남","0","4","21","0","11","0","2","1","8","7","7","0","28","4","0","0","1","37","102","136","31","17","57","74","22","0","79","10"
"대구광역시","동구","여","0","6","33","2","11","0","1","0","2","0","3","0","33","2","0","0","32","24","15","187","39","34","127","536","16","1","55","9"
"대구광역시","북구","남","0","26","749","2","115","0","1","6","5","0","36","0","65","34","1","0","1","29","787","193","36","57","79","69","37","2","89","6"
"대구광역시","북구","여","0","32","697","0","97","0","1","0","0","0","8","0","65","6","0","0","58","12","77","299","64","135","179","577","7","4","76","7"
"대구광역시","서구","남","0","2","8","15","15","0","3","0","20","7","0","0","8","0","0","0","2","9","683","131","26","16","48","62","125","0","152","0"
"대구광역시","서구","여","0","3","7","4","10","0","1","0","0","1","0","0","14","0","0","0","4","1","42","224","37","20","94","487","28","1","77","0"
"대구광역시","수성구","남","0","5","20","0","39","0","4","2","8","0","9","0","111","0","0","0","11","57","46","51","20","10","87","83","3","0","32","55"
"대구광역시","수성구","여","0","3","16","0","53","0","1","0","0","1","3","0","122","0","0","0","20","20","1","94","36","17","116","286","5","1","29","55"
"대구광역시","중구","남","0","1","18","0","4","0","2","0","3","2","6","0","31","3","0","0","0","21","38","30","15","8","95","14","8","1","30","33"
"대구광역시","중구","여","0","1","18","0","3","0","3","2","0","0","0","0","33","1","0","0","2","2","0","38","26","9","95","106","6","2","25","38"
"대전광역시","대덕구","남","0","9","89","2","75","0","1","0","3","0","18","1","7","0","0","0","6","15","549","112","16","9","51","37","48","0","94","14"
"대전광역시","대덕구","여","0","6","105","1","61","0","3","0","0","0","10","0","16","2","0","0","2","9","32","210","53","13","105","435","21","0","57","6"
"대전광역시","동구","남","0","32","996","1","138","0","9","0","1","0","87","0","53","0","0","0","2","24","59","121","22","51","58","56","6","0","99","3"
"대전광역시","동구","여","0","20","1152","0","123","0","3","0","0","0","58","0","43","1","0","0","7","5","2","179","90","69","139","462","4","0","35","0"
"대전광역시","서구","남","0","34","244","0","127","0","5","1","4","2","8","0","102","27","1","0","1","101","30","165","59","22","108","118","14","4","133","2"
"대전광역시","서구","여","0","30","375","0","112","0","8","0","1","0","6","0","151","3","0","0","0","14","4","237","79","53","220","613","6","3","96","4"
"대전광역시","유성구","남","1","44","1104","0","361","0","6","4","16","1","33","0","49","266","2","0","1","183","120","127","60","193","151","94","10","2","115","71"
"대전광역시","유성구","여","0","49","977","1","410","0","2","0","0","2","11","0","75","44","0","0","4","64","7","187","89","398","218","420","5","3","79","32"
"대전광역시","중구","남","0","2","23","0","14","0","3","0","3","0","3","0","26","0","0","0","6","22","25","126","43","10","81","43","16","2","81","0"
"대전광역시","중구","여","0","4","15","0","10","0","2","0","0","1","3","0","40","1","0","0","2","5","6","175","55","9","158","409","3","0","73","0"
"부산광역시","강서구","남","0","2","3","6","3","0","4","6","30","36","4","5","10","5","0","0","5","101","4038","65","15","21","32","54","40","1","111","1"
"부산광역시","강서구","여","0","1","5","0","5","0","1","0","1","0","0","0","10","1","0","0","0","17","121","102","11","54","75","218","4","1","39","1"
"부산광역시","금정구","남","0","35","790","13","224","0","4","0","1","1","34","0","29","61","0","0","1","19","237","64","23","37","44","37","9","2","31","1"
"부산광역시","금정구","여","0","51","1248","19","318","0","11","0","2","0","15","0","41","9","0","0","1","4","5","89","58","112","99","294","4","17","26","0"
"부산광역시","기장군","남","0","2","1","3","3","0","1","1","8","2","4","114","13","0","0","0","0","21","1058","65","16","6","34","54","2","0","40","1"
"부산광역시","기장군","여","0","3","7","0","4","0","0","0","2","0","0","0","13","0","0","0","0","9","39","86","12","10","64","272","3","0","24","1"
"부산광역시","남구","남","1","40","860","2","860","0","4","2","6","2","23","61","44","28","0","0","0","30","101","81","33","39","106","68","9","4","49","14"
"부산광역시","남구","여","0","45","961","1","638","0","0","0","1","0","3","0","31","3","0","0","0","28","1","144","61","82","153","331","7","14","29","7"
"부산광역시","동구","남","0","9","8","0","5","0","2","3","8","1","0","190","4","0","0","0","15","44","3","73","46","3","169","16","9","0","46","12"
