"id","location","gender","country","country_total"
235,강남구,여,우간다,0
236,강남구,여,아일랜드,6
237,강남구,여,한국계러시아인,0
238,강남구,여,스페인,4
239,강남구,여,네덜란드,1
240,강남구,여,멕시코,0
241,강남구,여,예멘,1
242,강남구,여,아랍에미리트연합,8
243,강남구,여,타지키스탄,0
244,강남구,여,스웨덴,4
245,강남구,여,폴란드,0
246,강남구,여,라이베리아,0
247,강남구,여,케냐,0
248,강남구,여,이라크,0
249,강남구,여,요르단,0
250,강남구,여,세네갈,0
251,강남구,여,벨기에,3
252,강남구,여,페루,1
253,강남구,여,수단,0
254,강남구,여,콜롬비아,0
255,강남구,여,아프가니스탄,0
256,강남구,여,스위스,2
257,강남구,여,루마니아,1
258,강남구,여,에콰도르,0
259,강남구,여,리비아,0
260,강남구,여,덴마크,1
261,강남구,여,르완다,0
262,강남구,여,핀란드,1
263,강남구,여,그리스,0
264,강남구,여,벨로루시,4
265,강남구,여,오스트리아,1
266,강남구,여,콩고민주공화국,0
267,강남구,여,탄자니아,0
268,강남구,여,알제리,1
269,강남구,여,기니,0
270,강남구,여,코트디부아르,0
271,강남구,여,말리,0
272,강남구,여,튀니지,3
273,강남구,여,헝가리,0
274,강남구,여,아제르바이잔,0
275,강남구,여,이스라엘,1
276,강남구,여,베네수엘라,1
277,강남구,여,칠레,0
278,강남구,여,불가리아,1
279,강남구,여,체코,0
280,강남구,여,앙골라,0
281,강남구,여,아르헨티나,0
282,강남구,여,포르투갈,1
283,강남구,여,(마카오),0
284,강남구,여,투르크메니스탄,0
285,강남구,여,감비아,0
286,강남구,여,잠비아,0
287,강남구,여,쿠웨이트,1
288,강남구,여,과테말라,0
289,강남구,여,부룬디,0
290,강남구,여,짐바브웨,1
291,강남구,여,크로아티아,0
292,강남구,여,아르메니아,0
293,강남구,여,리투아니아,0
294,강남구,여,파라과이,0
295,강남구,여,브루나이,0
296,강남구,여,세르비아,0
297,강남구,여,볼리비아,0
298,강남구,여,도미니카공화국,0
299,강남구,여,엘살바도르,1
300,강남구,여,오만,1
301,강남구,여,가봉,0
302,강남구,여,코스타리카,1
303,강남구,여,파나마,0
304,강남구,여,슬로바키아,2
305,강남구,여,팔레스타인,0
306,강남구,여,피지,0
307,강남구,여,온두라스,0
308,강남구,여,몰도바,0
309,강남구,여,부르키나파소,0
310,강남구,여,조지아,0
311,강남구,여,슬로베니아,0
312,강남구,여,시에라리온,1
313,강남구,여,자메이카,0
314,강남구,여,모잠비크,0
315,강남구,여,라트비아,0
316,강남구,여,토고,0
317,강남구,여,레바논,0
318,강남구,여,니카라과,1
319,강남구,여,말라위,0
320,강남구,여,우루과이,0
321,강남구,여,마다가스카르,0
322,강남구,여,부탄,1
323,강남구,여,모리셔스,0
324,강남구,여,아이티,0
325,강남구,여,쿠바,0
326,강남구,여,콩고,0
327,강남구,여,남수단공화국,0
328,강남구,여,아이슬란드,0
329,강남구,여,키프로스,0
330,강남구,여,알바니아,1
331,강남구,여,에스토니아,0
332,강남구,여,트리니다드토바고,0
333,강남구,여,베냉,0
334,강남구,여,기니비사우,0
335,강남구,여,차드,0
336,강남구,여,에리트레아,0
337,강남구,여,모리타니,0
338,강남구,여,(영국외지민),2
339,강남구,여,룩셈부르크,0
340,강남구,여,소말리아,0
341,강남구,여,마케도니아,0
342,강남구,여,솔로몬군도,0
343,강남구,여,바레인,0
344,강남구,여,보츠와나,0
345,강남구,여,중앙아프리카공화국,0
346,강남구,여,카타르,0
347,강남구,여,바하마,0
348,강남구,여,바베이도스,0
349,강남구,여,니제르,0
350,강남구,여,세인트크리스토퍼네비스,0
351,강남구,여,벨리즈,0
352,강남구,여,몬테네그로,0
353,강남구,여,보스니아-헤르체고비나,0
354,강남구,여,파푸아뉴기니,0
355,강남구,여,몰타,0
356,강남구,여,코모로,0
357,강남구,여,가이아나,0
358,강남구,여,몰디브,0
359,강남구,여,레소토,0
360,강남구,여,수리남,0
361,강남구,여,코소보,0
362,강남구,여,스와질란드,0
363,강남구,여,키리바시,0
364,강남구,여,통가,0
365,강남구,여,나우루,0
366,강남구,여,바누아투,0
367,강남구,여,세인트루시아,0
368,강남구,여,팔라우,0
369,강남구,여,나미비아,0
370,강남구,여,적도기니,0
371,강남구,여,도미니카연방,0
372,강남구,여,카보베르데,0
373,강남구,여,그레나다,0
374,강남구,여,기타,1
375,강동구,남,한국계중국인,1106
376,강동구,남,중국,224
377,강동구,남,베트남,100
378,강동구,남,우즈베키스탄,22
379,강동구,남,캄보디아,65
380,강동구,남,필리핀,17
381,강동구,남,인도네시아,3
382,강동구,남,네팔,3
383,강동구,남,태국,8
384,강동구,남,스리랑카,9
385,강동구,남,미국,74
386,강동구,남,미얀마,31
387,강동구,남,일본,18
388,강동구,남,몽골,54
389,강동구,남,(타이완),28
390,강동구,남,방글라데시,11
391,강동구,남,파키스탄,28
392,강동구,남,카자흐스탄,5
393,강동구,남,인도,11
394,강동구,남,러시아(연방),4
395,강동구,남,캐나다,24
396,강동구,남,키르기즈,0
397,강동구,남,영국,18
398,강동구,남,프랑스,0
399,강동구,남,이집트,1
400,강동구,남,우크라이나,0
401,강동구,남,말레이시아,8
402,강동구,남,독일,0
403,강동구,남,나이지리아,1
404,강동구,남,남아프리카공화국,4
405,강동구,남,동티모르,0
406,강동구,남,(홍콩),0
407,강동구,남,오스트레일리아,8
408,강동구,남,시리아,0
409,강동구,남,이란,2
